Age,Education,Marital_Status,Income,Spending,Seniority,Has_child,Children,Wines,Fruits,Meat,Fish,Sweets,Gold,features_raw,features_scaled,features,probability,prediction,Cluster
49,Undergraduate,In couple,7500,61,153.13333333333333,No child,No child,6,16,11,11,1,16,"[7500.0,153.13333333333333,61.0]","[0.348410688261254,22.688803244340132,0.10117339728079533]","[0.015354099992637482,0.9998721780476938,0.004458607358449749]","[0.999999754851688,3.678598664925308e-18,3.678598664925308e-18,2.4514831192657697e-07]",0,Cluster 0
66,Postgraduate,Alone,63033,1102,140.9,No child,No child,194,61,480,225,112,30,"[63033.0,140.9,1102.0]","[2.928182788422883,20.876267155817533,1.8277554721874827]","[0.1383848032802583,0.9866044343290186,0.08637902745112105]","[0.000593529600395863,1.2764795915516511e-13,0.9994064703994765,4.024260264348499e-21]",2,Cluster 2
73,Postgraduate,Alone,59354,310,140.9,Has child,2 children,233,2,53,3,5,14,"[59354.0,140.9,310.0]","[2.757275732141129,20.876267155817533,0.5141598878204353]","[0.13090089019428489,0.9910949140034554,0.024409596121757665]","[8.845986077368307e-05,0.9999115400651364,7.408997382913603e-11,1.9570470231239647e-21]",1,Cluster 1
38,Postgraduate,In couple,17323,46,154.26666666666668,No child,No child,3,14,17,6,1,5,"[17323.0,154.26666666666668,46.0]","[0.804735780366627,22.856722119026152,0.07629469303141942]","[0.035185841287039665,0.999375219100641,0.003335868772759073]","[0.0003494634903838319,8.467623383091046e-22,8.467623383091046e-22,0.9996505365096163]",3,Cluster 3
79,Postgraduate,Alone,82800,1315,152.76666666666668,No child,No child,1006,22,115,59,68,45,"[82800.0,152.76666666666668,1315.0]","[3.846453998404244,22.634476549588776,2.1810330725286207]","[0.1667850521181926,0.9814474195082855,0.09457118551894818]","[0.0007768051505813613,5.5925126249843956e-21,0.9992231948494187,5.5925126249843956e-21]",2,Cluster 2
45,Postgraduate,In couple,41850,96,151.76666666666668,Has child,2 children,53,5,19,2,13,4,"[41850.0,151.76666666666668,96.0]","[1.944131640497797,22.486312836630525,0.15922370719600576]","[0.08613496088581361,0.9962585024095406,0.007054423427783174]","[0.00012632653917795934,0.1442864211969671,7.449741836593705e-22,0.8555872522638549]",3,Cluster 3
79,Postgraduate,In couple,37760,317,155.6,No child,No child,84,5,38,150,12,28,"[37760.0,155.6,317.0]","[1.7541316784993266,23.054273736303816,0.5257699498034774]","[0.0758481502991273,0.9968601792109224,0.022734141720520826]","[0.003545961455548701,0.9964474980804358,1.3076662649380915e-20,6.5404640154172975e-06]",1,Cluster 1
76,Postgraduate,In couple,76995,1782,148.63333333333333,Has child,1 child,1012,80,498,0,16,176,"[76995.0,148.63333333333333,1782.0]","[3.5767841256900335,22.022066536028003,2.955590064825857]","[0.15892889756943263,0.9785166321985997,0.13132709555942834]","[0.0022055615046306567,6.324405352646935e-21,0.9977944384953694,6.324405352646935e-21]",2,Cluster 2
40,Undergraduate,Alone,33812,133,153.46666666666667,Has child,1 child,4,17,19,30,24,39,"[33812.0,153.46666666666667,133.0]","[1.5707282921986025,22.73819114865955,0.22059117767779965]","[0.06891140050353116,0.9975758409354507,0.009677833568034063]","[0.00010364317211381816,5.541359771331233e-05,3.5387640651281967e-22,0.9998409432301728]",3,Cluster 3
43,Postgraduate,In couple,37040,316,156.36666666666667,No child,No child,86,2,73,69,38,48,"[37040.0,156.36666666666667,316.0]","[1.7206842524262462,23.16786591623848,0.5241113695201857]","[0.0740474576296031,0.9969996339433154,0.022554465976553525]","[0.007455605309086327,0.992521381057433,2.6157457790049223e-20,2.3013633480594347e-05]",1,Cluster 1
46,Postgraduate,In couple,2447,1730,151.33333333333334,Has child,1 child,1,1,1725,1,1,1,"[2447.0,151.33333333333334,1730.0]","[0.11367479389003847,22.422108561015282,2.869343890094687]","[0.0050286915368440875,0.9918985880726345,0.12693267207831627]","[0.9999999999999993,2.1372680921235353e-16,2.1372680921235353e-16,2.1372680921235353e-16]",0,Cluster 0
76,Postgraduate,In couple,58607,972,151.8,Has child,1 child,867,0,86,0,0,19,"[58607.0,151.8,972.0]","[2.722574027590308,22.491251627062468,1.6121400353595583]","[0.1198699943971932,0.9902489993662489,0.07097960057199255]","[0.003392661083862518,0.09387461200465796,0.9027327269114795,2.3053759797378554e-20]",2,Cluster 2
71,Postgraduate,In couple,65324,544,139.0,Has child,1 child,384,0,102,21,32,5,"[65324.0,139.0,544.0]","[3.034610639997087,20.594756101196854,0.9022676741106993]","[0.14563796674470883,0.9883898661161933,0.04330190759401211]","[0.0008334559315980668,0.9611209215649671,0.03804562250343481,1.9063572827321488e-20]",1,Cluster 1
74,Postgraduate,In couple,40689,444,148.96666666666667,Has child,1 child,270,3,27,39,6,99,"[40689.0,148.96666666666667,444.0]","[1.890197665954955,22.07145444034742,0.7364096457815267]","[0.08528048137967882,0.9958028693636813,0.03322476279387384]","[0.0005112202269156269,0.9994887797730844,2.273695072060246e-21,4.415379281520642e-21]",1,Cluster 1
56,Postgraduate,Alone,18589,75,151.46666666666667,No child,No child,6,4,25,15,12,13,"[18589.0,151.46666666666667,75.0]","[0.8635475045451266,22.441863722743047,0.1243935212468795]","[0.03845026772784855,0.9992451647531448,0.005538738946471461]","[0.00015039598191767228,3.5028882341835946e-22,3.5028882341833045e-22,0.9998496040180823]",3,Cluster 3
49,Postgraduate,In couple,53359,257,146.63333333333333,Has child,2 children,173,4,30,3,6,41,"[53359.0,146.63333333333333,257.0]","[2.4787794553243003,21.7257391101115,0.42625513280597377]","[0.11333716931769545,0.9933654108621118,0.019489652480215072]","[0.00013071624231040046,0.9998692837576897,3.691977898696642e-19,1.746366639181779e-21]",1,Cluster 1
36,Postgraduate,In couple,38360,131,146.5,Has child,1 child,36,2,42,20,21,10,"[38360.0,146.5,131.0]","[1.782004533560227,21.705983948383736,0.2172740171112162]","[0.08181803748500702,0.9965973570166561,0.009975807211335992]","[0.0001391773981372544,0.08251605423733722,6.924314027042031e-22,0.9173447683645256]",3,Cluster 3
60,Postgraduate,In couple,84618,1672,140.66666666666666,No child,No child,684,100,801,21,66,0,"[84618.0,140.66666666666666,1672.0]","[3.930908749238772,20.84169562279394,2.773146233663767]","[0.1837758992728507,0.9743806330258158,0.1296487594644292]","[0.00470326342033825,1.372842177590547e-20,0.9952967365796618,1.372842177590547e-20]",2,Cluster 2
36,Postgraduate,Alone,10979,30,134.63333333333333,No child,No child,8,4,10,2,2,4,"[10979.0,134.63333333333333,30.0]","[0.510026792856041,19.947774554612494,0.0497574084987518]","[0.025559672265131728,0.9996701882650718,0.002493561263455715]","[0.18093897445842025,5.04933488093966e-19,5.04933488093966e-19,0.8190610255415797]",3,Cluster 3
62,Postgraduate,In couple,38620,318,147.16666666666666,No child,No child,112,17,44,34,22,89,"[38620.0,147.16666666666666,318.0]","[1.7940827707532838,21.80475975702257,0.527428530086769]","[0.08197848679742782,0.9963426654566396,0.024100221848822868]","[0.0006301517830516725,0.9993698320296687,2.7604857434489246e-21,1.618727963501904e-08]",1,Cluster 1
55,Postgraduate,In couple,40548,120,154.26666666666668,Has child,1 child,110,0,5,2,0,3,"[40548.0,154.26666666666668,120.0]","[1.8836475450156436,22.856722119026152,0.1990296339950072]","[0.0821295707280648,0.9965838783659983,0.008677960187099673]","[8.364543743249812e-05,0.04339586336882316,4.256034314665425e-22,0.9565204911937444]",3,Cluster 3
73,Postgraduate,Alone,46610,302,153.63333333333333,Has child,2 children,96,12,96,33,22,43,"[46610.0,153.63333333333333,302.0]","[2.1652562906476063,22.762885100819258,0.5008912455541015]","[0.0946720675861023,0.9952675838087048,0.021900599045576216]","[0.00018818616435715144,0.9998118137781828,1.2790957817790295e-21,5.7459938474146704e-11]",1,Cluster 1
79,Postgraduate,In couple,68657,1196,149.83333333333334,No child,No child,482,34,471,119,68,22,"[68657.0,149.83333333333334,1196.0]","[3.1894443498603886,22.199862991577906,1.9836620188169052]","[0.14165638494938101,0.985987524095265,0.08810261591781463]","[0.0006115158176765519,1.1536851336410148e-16,0.9993884841823233,4.157202446026768e-21]",2,Cluster 2
74,Postgraduate,Alone,49389,65,143.5,Has child,2 children,40,0,19,2,1,3,"[49389.0,143.5,65.0]","[2.29435406433801,21.261492809508983,0.10780771841396224]","[0.10728700751868799,0.9942153106915874,0.005041230416800821]","[0.00013303509825096906,0.999866964901009,1.6912115534864929e-21,7.399528960333768e-13]",1,Cluster 1
55,Postgraduate,In couple,67353,913,139.36666666666667,Has child,1 child,702,17,151,0,8,35,"[67353.0,139.36666666666667,913.0]","[3.1288673448613653,20.649082795948214,1.5142837986453463]","[0.14942334461683263,0.9861252250619755,0.07231669641229087]","[0.0003123188211740176,4.431883219662238e-09,0.9996876767469428,3.664992673480297e-21]",2,Cluster 2
49,Undergraduate,In couple,23718,81,143.36666666666667,Has child,1 child,6,3,14,15,7,36,"[23718.0,143.36666666666667,81.0]","[1.1018139605573896,21.241737647781218,0.13434500294662985]","[0.0517995650306602,0.9986375286929893,0.006315959831510703]","[6.320451542339045e-05,4.547158339314013e-17,1.5795815319952672e-22,0.9999367954845766]",3,Cluster 3
52,Postgraduate,Alone,42429,67,137.96666666666667,Has child,1 child,55,0,6,2,0,4,"[42429.0,137.96666666666667,67.0]","[1.971028945631566,20.441653597806663,0.11112487898054568]","[0.09597565335594571,0.9953689741967598,0.0054110229521976165]","[0.0002377113634365674,0.9976316906506331,2.0039475050728237e-21,0.0021305979859304867]",1,Cluster 1
82,Postgraduate,Alone,48948,902,150.46666666666667,No child,No child,437,8,206,160,49,42,"[48948.0,150.46666666666667,902.0]","[2.2738675158682478,22.293700009784796,1.4960394155291374]","[0.10124416726436383,0.9926291118461902,0.06661129716789062]","[0.01288349608140846,0.9862838366773046,0.0008326672412868157,6.008398030818295e-20]",1,Cluster 1
45,Postgraduate,In couple,80011,1395,147.56666666666666,Has child,1 child,421,76,536,82,178,102,"[80011.0,147.56666666666666,1395.0]","[3.7168916771294924,21.86402524220587,2.313719495191959]","[0.1666911405939088,0.9805341726859095,0.103763191174235]","[0.0010267299017076305,5.6039247059370816e-21,0.9989732700982924,5.6039247059370816e-21]",2,Cluster 2
40,Postgraduate,In couple,20559,53,149.16666666666666,Has child,1 child,13,1,29,3,0,7,"[20559.0,149.16666666666666,53.0]","[0.9550633786617494,22.10108718293907,0.08790475501446152]","[0.043172778894727905,0.9990597185488628,0.003973655190666317]","[6.925169079989535e-05,1.6490408112128799e-22,1.6490399053104114e-22,0.9999307483092]",3,Cluster 3
68,Postgraduate,In couple,21994,22,151.76666666666668,Has child,1 child,9,0,6,3,1,3,"[21994.0,151.76666666666668,22.0]","[1.021725957015736,22.486312836630525,0.036488766232417987]","[0.04539079104287916,0.9989679916457165,0.0016210354176630175]","[8.533819194399973e-05,2.111873692160962e-22,2.1117938472791048e-22,0.999914661808056]",3,Cluster 3
50,Postgraduate,In couple,7500,31,142.36666666666667,Has child,1 child,3,1,10,3,2,12,"[7500.0,142.36666666666667,31.0]","[0.348410688261254,21.093573934822967,0.05141598878204352]","[0.0165150835532033,0.9998606463761955,0.002437179395797667]","[0.9999970339291477,3.6247092691609924e-18,3.6247092691609924e-18,2.9660708522744603e-06]",0,Cluster 0
49,Postgraduate,Alone,79941,984,133.4,No child,No child,123,164,266,227,30,174,"[79941.0,133.4,984.0]","[3.713639844039054,19.76503930863065,1.632042998759059]","[0.18405309152970675,0.9795824963475895,0.08088629270637997]","[0.0008534014971614858,1.0286268871034666e-20,0.9991465985028385,1.0286268871034666e-20]",2,Cluster 2
29,Undergraduate,In couple,7500,122,153.26666666666668,No child,No child,3,18,14,15,22,50,"[7500.0,153.26666666666668,122.0]","[0.348410688261254,22.7085584060679,0.20234679456159066]","[0.015340289577440805,0.9998426385073937,0.008909194029415545]","[0.9999999621139445,3.4786082977386845e-18,3.4786082977386845e-18,3.7886055505977547e-08]",0,Cluster 0
57,Postgraduate,In couple,41728,55,146.73333333333332,Has child,1 child,13,6,15,3,5,13,"[41728.0,146.73333333333332,55.0]","[1.9384641599687475,21.740555481407327,0.09122191558104496]","[0.08881039952796903,0.9960397814602311,0.0041793162524035934]","[0.0002686255281887414,0.3225855638226451,1.7844409905084838e-21,0.6771458106491661]",3,Cluster 3
71,Postgraduate,In couple,72550,1319,153.3,Has child,2 children,826,50,317,50,38,38,"[72550.0,153.3,1319.0]","[3.370292724447197,22.713497196499844,2.1876673936617874]","[0.14611416853167733,0.9847108333468303,0.09484315707359908]","[0.0008145780790638564,4.895735415750978e-21,0.9991854219209361,4.895733096261553e-21]",2,Cluster 2
68,Postgraduate,Alone,65486,507,134.96666666666667,Has child,1 child,245,19,125,37,67,14,"[65486.0,134.96666666666667,507.0]","[3.04213631086353,19.99716245893191,0.8409002036289054]","[0.15026822172231644,0.9877723202163126,0.04153679037787137]","[0.0038078417634943434,0.8809132975275845,0.11527886070892106,1.0016522434413699e-19]",1,Cluster 1
61,Postgraduate,In couple,79143,1693,156.26666666666668,No child,No child,650,37,780,27,167,32,"[79143.0,156.26666666666668,1693.0]","[3.6765689468080565,23.153049544942654,2.8079764196128933]","[0.15571615824226054,0.9806164331179649,0.118928083988902]","[0.0014671402931615018,5.214866985314234e-21,0.9985328597068386,5.214866985314234e-21]",2,Cluster 2
48,Postgraduate,Alone,35790,72,151.46666666666667,Has child,1 child,12,6,20,30,1,3,"[35790.0,151.46666666666667,72.0]","[1.662615804382704,22.441863722743047,0.11941778039700432]","[0.07388193839861251,0.9972528763067778,0.0053065880113332894]","[2.6980934605425087e-05,0.00010937286996252695,1.101485183613241e-22,0.9998636461954321]",3,Cluster 3
48,Postgraduate,Alone,82582,1617,134.1,No child,No child,510,120,550,156,40,241,"[82582.0,134.1,1617.0]","[3.83632686106545,19.868753907701425,2.681924318082722]","[0.18793842190986715,0.9733535201669058,0.1313852135847932]","[0.010074512190513495,2.8382172119637007e-20,0.9899254878094865,2.8382172119637007e-20]",2,Cluster 2
47,Postgraduate,In couple,66373,606,146.1,Has child,2 children,328,9,124,12,24,109,"[66373.0,146.1,606.0]","[3.083341681595228,21.646718463200436,1.0050996516747863]","[0.14086712058968015,0.988963019677044,0.04591949529377671]","[0.0003547374690345494,0.9737693828493403,0.02587587968162503,6.863324627015792e-21]",1,Cluster 1
70,Postgraduate,In couple,82384,1957,152.93333333333334,No child,No child,984,51,432,180,120,190,"[82384.0,152.93333333333334,1957.0]","[3.827128818895353,22.659170501748484,3.245841614401909]","[0.16490418491328096,0.9763434206744073,0.13985755147250256]","[0.005357638670407409,1.393379891744162e-20,0.9946423613295926,1.393379891744162e-20]",2,Cluster 2
59,Postgraduate,Alone,70287,1093,148.46666666666667,No child,No child,295,35,482,121,120,40,"[70287.0,148.46666666666667,1093.0]","[3.265165606109168,21.997372583868298,1.8128282496378572]","[0.14634024756576172,0.9858920918732594,0.0812484776728782]","[0.0004310993549672372,3.435991666880715e-13,0.9995689006446892,3.767672854531929e-21]",2,Cluster 2
37,Postgraduate,Alone,27938,29,135.43333333333334,Has child,1 child,13,0,8,2,1,5,"[27938.0,135.43333333333334,29.0]","[1.2978530411523885,20.066305524979096,0.04809882821546008]","[0.0645431808614018,0.9979120483231981,0.0023919899020118903]","[5.2663115319617523e-05,6.694724305718994e-09,1.7336602808191488e-22,0.9999473301899561]",3,Cluster 3
57,Postgraduate,In couple,55954,518,137.3,Has child,1 child,447,0,28,0,0,43,"[55954.0,137.3,518.0]","[2.599329553462694,20.34287778916783,0.8591445867451144]","[0.12663435247463922,0.9910660050281929,0.04185587713555789]","[0.000126609190632909,0.9998168786966143,5.651211275273483e-05,1.8331615408954405e-21]",1,Cluster 1
43,Postgraduate,Alone,75777,1438,145.36666666666667,No child,No child,712,26,538,69,13,80,"[75777.0,145.36666666666667,1438.0]","[3.5202022299164057,21.53806507369772,2.385038447373503]","[0.1603460609539248,0.9810640609754813,0.10863907675812351]","[0.0011894733027194018,5.512969505040145e-21,0.9988105266972807,5.512969505040145e-21]",2,Cluster 2
50,Postgraduate,In couple,66653,612,155.36666666666667,Has child,2 children,452,18,102,16,18,6,"[66653.0,155.36666666666667,612.0]","[3.0963490139569814,23.01970220328023,1.0150511333745367]","[0.13318099574738024,0.9901296163390507,0.043659652083137504]","[0.0001317246836187596,0.9988898287754564,0.0009784465409248626,2.20537524537192e-21]",1,Cluster 1
73,Postgraduate,Alone,61823,884,149.9,Has child,1 child,523,7,134,37,14,169,"[61823.0,149.9,884.0]","[2.871972530716734,22.20974057244179,1.4661849704298864]","[0.12796966229670578,0.989624019852141,0.06533042831144126]","[0.0011558397156820042,0.22017033984716547,0.7786738204371524,1.0690241331078509e-20]",2,Cluster 2
74,Postgraduate,Alone,67680,606,146.13333333333333,Has child,1 child,546,0,48,0,6,6,"[67680.0,146.13333333333333,606.0]","[3.144058050869556,21.651657253632376,1.0050996516747863]","[0.14355238426123923,0.9885781279090755,0.045891153752123534]","[0.0006367120761837836,0.9368156492461612,0.06254763867765509,1.3114302457767769e-20]",1,Cluster 1
77,Postgraduate,In couple,70666,1076,140.2,No child,No child,398,40,367,119,122,30,"[70666.0,140.2,1076.0]","[3.2827719595559697,20.772552556746756,1.784632384821898]","[0.1555378682097232,0.9842043802481615,0.08455595456919213]","[0.0004982487055005687,4.621503747665568e-21,0.9995017512944995,4.442564423277752e-21]",2,Cluster 2
54,Postgraduate,In couple,25721,34,146.83333333333334,Has child,1 child,1,3,6,3,6,15,"[25721.0,146.83333333333334,34.0]","[1.194862841702362,21.755371852703156,0.056391729631918706]","[0.054839823922545626,0.9984918102164362,0.002588173651208546]","[6.215465067467147e-05,1.0599789731605577e-15,1.6880161591791406e-22,0.9999378453493242]",3,Cluster 3
58,Postgraduate,In couple,32474,11,135.0,Has child,2 children,10,0,1,0,0,0,"[32474.0,135.0,11.0]","[1.5085718254127949,20.002101249363854,0.018244383116208993]","[0.07520704026897823,0.997167525459692,0.000909539759784353]","[5.986369397946205e-05,7.903289898599702e-05,2.6551347730873204e-22,0.9998611034070346]",3,Cluster 3
46,Undergraduate,Alone,88194,1274,136.76666666666668,Has child,1 child,688,14,309,201,24,38,"[88194.0,136.76666666666668,1274.0]","[4.097030965401737,20.263857142256764,2.1130312809136598]","[0.19714713964331546,0.9750869611367364,0.10167803868871446]","[0.004394099492559715,2.6203210130524716e-20,0.9956059005074401,2.6203210130524716e-20]",2,Cluster 2
67,Postgraduate,In couple,69096,653,142.53333333333333,Has child,1 child,247,49,159,7,82,109,"[69096.0,142.53333333333333,653.0]","[3.2098379888132804,21.118267886982675,1.0830529249894976]","[0.15007481977957898,0.9873770134945455,0.05063774966089099]","[0.0016308553168138866,0.05223959224845242,0.9461295524347337,3.443367894504674e-20]",2,Cluster 2
55,Postgraduate,In couple,74854,1562,148.26666666666668,Has child,3+ children,856,59,487,58,29,73,"[74854.0,148.26666666666668,1562.0]","[3.477324487881054,21.967739841276646,2.590702402501677]","[0.15529572451534238,0.9810692348399277,0.1156995868525624]","[0.0013931482479229353,5.305964266603383e-21,0.998606851752077,5.305964266603383e-21]",2,Cluster 2
71,Postgraduate,In couple,66991,1253,155.23333333333332,No child,No child,496,36,460,189,60,12,"[66991.0,155.23333333333332,1253.0]","[3.112050722307955,22.999947041552456,2.0782010949645335]","[0.13355071416939598,0.9870209798443185,0.08918403496145506]","[0.0007545672878388598,2.851478382182879e-14,0.9992454327121326,4.433980863079249e-21]",2,Cluster 2
66,Postgraduate,In couple,65031,863,149.0,Has child,1 child,258,107,291,84,37,86,"[65031.0,149.0,863.0]","[3.020999395775681,22.076393230779363,1.4313547844807601]","[0.13530056473239435,0.9887285894712726,0.06410564363020534]","[0.000653848228540792,0.04686337269240998,0.9524827790790492,7.325214284124324e-21]",2,Cluster 2
50,Postgraduate,In couple,60631,661,148.36666666666667,Has child,2 children,565,6,65,0,6,19,"[60631.0,148.36666666666667,661.0]","[2.816598458662412,21.982556212572472,1.0963215672558313]","[0.12693461216127921,0.9906798175560768,0.04940752293450861]","[0.00017205062592107683,0.9970136766267764,0.0028142727473025085,2.1732025200059113e-21]",1,Cluster 1
73,Postgraduate,In couple,28332,65,135.36666666666667,No child,No child,14,10,13,4,15,9,"[28332.0,135.36666666666667,65.0]","[1.316156215975713,20.056427944115214,0.10780771841396224]","[0.06548087946452497,0.9978394089974599,0.00536360663660033]","[3.979238911416713e-05,1.0358057168771503e-07,1.2992188701187494e-22,0.9999601040303141]",3,Cluster 3
48,Postgraduate,Alone,40246,13,151.93333333333334,Has child,1 child,2,1,6,2,1,1,"[40246.0,151.93333333333334,13.0]","[1.8696182079683237,22.511006788790233,0.021561543682792447]","[0.08276850247221443,0.996568343798237,0.0009545353559394744]","[0.00012078564380571402,0.00936899838822218,6.770740026524417e-22,0.9905102159679722]",3,Cluster 3
53,Postgraduate,In couple,75251,1890,155.73333333333332,No child,No child,721,111,925,97,18,18,"[75251.0,155.73333333333332,1890.0]","[3.4957670269796832,23.07402889803158,3.1347167354213634]","[0.14845960249558618,0.9799168914105515,0.1331263773830492]","[0.003157038049029593,8.81051618110082e-21,0.9968429619509704,8.81051618110082e-21]",2,Cluster 2
49,Postgraduate,Alone,75825,2209,154.2,No child,No child,1032,105,779,137,105,51,"[75825.0,154.2,2209.0]","[3.522432058321278,22.846844538162266,3.663803845791424]","[0.15049702950991056,0.9761386961447346,0.1565371840731481]","[0.40246105378150754,1.1446828947436597e-18,0.5975389462184925,1.1446828947436597e-18]",2,Cluster 2
49,Undergraduate,In couple,26326,18,143.3,No child,No child,1,0,5,0,3,9,"[26326.0,143.3,18.0]","[1.2229679705554364,21.231860066917335,0.02985444509925108]","[0.057505230277203404,0.998344218129379,0.0014037871649662627]","[8.135201586285023e-05,8.384107521722838e-14,2.3407729676424986e-22,0.9999186479840534]",3,Cluster 3
60,Postgraduate,In couple,56046,692,151.46666666666667,No child,No child,577,0,64,0,0,51,"[56046.0,151.46666666666667,692.0]","[2.603603391238699,22.441863722743047,1.1477375560378749]","[0.11509408096966621,0.9920580412160017,0.05073652909312839]","[0.0002510590010945816,0.9996579768470446,9.096415186086997e-05,2.2199412421340647e-21]",1,Cluster 1
40,Postgraduate,Alone,29760,165,155.66666666666666,Has child,1 child,64,4,68,7,5,17,"[29760.0,155.66666666666666,165.0]","[1.3824936110206558,23.0641513171677,0.2736657467431349]","[0.059829640455125864,0.9981383419848179,0.011843326509434884]","[0.0005956566964773094,3.59507847290522e-08,1.615050957947456e-21,0.999404307352738]",3,Cluster 3
56,Postgraduate,In couple,26304,16,145.73333333333332,Has child,1 child,4,1,5,2,0,4,"[26304.0,145.73333333333332,16.0]","[1.22194596586987,21.592391768449076,0.026537284532667627]","[0.056501060499469645,0.9984017851140512,0.0012270466622511598]","[8.647314254460051e-05,1.0995988362961983e-14,2.449816785572837e-22,0.9999135268574445]",3,Cluster 3
52,Undergraduate,In couple,23559,79,145.4,Has child,1 child,25,5,19,7,0,23,"[23559.0,145.4,79.0]","[1.094427653966251,21.543003864129663,0.13102784238004642]","[0.050735633314644694,0.9986936464784919,0.006074207409609275]","[6.116820964607035e-05,2.904596532408365e-18,1.5122511171005847e-22,0.9999388317903539]",3,Cluster 3
62,Postgraduate,In couple,38620,318,147.16666666666666,No child,No child,112,17,44,34,22,89,"[38620.0,147.16666666666666,318.0]","[1.7940827707532838,21.80475975702257,0.527428530086769]","[0.08197848679742782,0.9963426654566396,0.024100221848822868]","[0.0006301517830516725,0.9993698320296687,2.7604857434489246e-21,1.618727963501904e-08]",1,Cluster 1
38,Postgraduate,Alone,81361,778,137.5,No child,No child,163,23,424,27,65,76,"[81361.0,137.5,778.0]","[3.779605601016518,20.37251053175948,1.2903754604009634]","[0.18205937689374702,0.9813210595771948,0.062155943523948286]","[0.0018764398720031862,4.193208574493908e-20,0.9981235601279969,4.193208574493899e-20]",2,Cluster 2
65,Postgraduate,In couple,29440,56,144.1,Has child,2 children,17,8,14,10,4,3,"[29440.0,144.1,56.0]","[1.3676280883215088,21.350391037283934,0.09288049586433669]","[0.06392473059897699,0.9979452797845288,0.004341356196708454]","[4.225026177405589e-05,9.264328125833254e-09,1.3437707073532118e-22,0.9999577404738978]",3,Cluster 3
